大正新脩大藏經第 54 冊 No. 2135 梵語雜名


　　No. 2135

梵語雜名

　　翻經大德兼翰林待詔光定寺歸茲國沙門　禮言集

　　睿山沙門　真源較

　　有情身分

　　天　泥𭌯又素羅　deva蒪sura
　　貧　娜哩捺羅(二合)　daridra

　　多　縛戶儞　vahuni

　　少　阿臘麼　alama

　　分　賀(引)誐　hāga

　　秤　捺覩攞　datula

　　兩　波羅　pira

　　肘　賀薩多　hasta

　　斛　句賀　kuha

　　斤　鉢羅(二合)薩他　prastha

　　升　加嚩制又鉢囉薩他　kavace蒪prastha

　　重　誐嚕　garu

　　輕　攞戶又攞具　lahu蒪laghu

　　斗　阿頗迦　āphaka

　　買　吉里(二合)野　kriya

　　賣　尾吉哩(二合)耶　vikriya

　　與　娜儞耶　dadya

　　與儞　那嚩底　davati

　　與儞　泥徒　dedo

　　與我　泥茗　deme

　　取　𭋱娜又疑叻訖曩　rada蒪gṛhṇa

　　得　羅嚩駄(二合)又婆嚩都又駄婆吠又鉢羅補迦　ravda蒪bhavatu蒪dhabhave蒪prapūka

　　失　那史也吒　daṣyaṭa

　　貨　妹攞鉢哆　mailapta

　　奪　賀囉　hara

　　賊　制囉　cera

　　盜　布始多　puṣita

　　雇　勃叻哆迦　bhṛtaka

　　財　阿㗚他　artha

　　物　縛薩覩(二合)(亦方也)　vasto

　　絹　鉢吒　paṭṭa

　　白疊　却波(引)薩　karpāsa

　　布　網誐　maṅga

　　布　他者拏　thacaṇa

　　絲　鉢吒蘇覩　paṭṭasutu

　　錦　指怛囉(二合)　citra

　　繡　素指迦喇麼　sucikarmma

　　綾　鉢吒(二合)(上)誐　paṭṭaga

　　綿　迦指　kaci

　　裁　迦畢比哆　kapipita

　　衣　縛娑怛囉(二合)　vasatra

　　針　蘇指　suci

　　縫　徙縛(引)尾　saivabi

　　寶　囉怛那(二合)　ratna

　　金　素(引)嚩哩拏　suvarṇa

　　銀　嚕比也　rupya

